Continent,Region,Country,Criminality,Criminal markets,Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Criminal actors,Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Resilience,Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors
Asia,Western Asia,Turkey,6.89,6.40,7.00,9.00,9.00,4.00,3.00,9.50,8.00,4.00,5.00,5.50,7.38,8.00,7.50,9.00,5.00,3.54,3.00,3.00,3.50,4.50,2.00,3.00,6.50,2.00,4.00,4.00,3.50,3.50
Africa,West Africa,Cabo Verde,4.04,3.70,4.50,2.00,2.50,2.50,4.00,1.00,4.00,7.00,5.00,4.50,4.38,2.50,4.00,4.00,7.00,6.33,6.50,6.00,8.50,7.00,7.00,6.00,7.50,5.00,6.00,3.50,6.00,7.00
Africa,Southern Africa,South Africa,6.63,6.00,4.50,4.00,8.00,3.50,7.50,7.50,7.50,5.50,3.50,8.50,7.25,7.00,7.00,7.50,7.50,5.79,6.00,5.50,6.50,6.50,6.00,5.00,6.00,6.00,6.00,4.00,5.00,7.00
Americas,South America,Colombia,7.66,7.20,7.50,7.00,8.00,6.00,7.00,9.00,5.00,9.50,8.00,5.00,8.13,9.50,9.00,7.00,7.00,5.83,7.00,5.50,9.00,7.00,5.50,6.00,4.50,6.00,5.00,3.50,4.50,6.50
Americas,South America,Peru,6.35,6.20,7.00,6.00,5.50,7.00,5.50,9.00,3.50,9.00,5.50,4.00,6.50,6.00,8.00,7.00,5.00,4.58,3.00,5.50,5.00,6.00,6.00,5.00,5.00,4.50,4.00,3.50,3.00,4.50
Asia,Western Asia,Iraq,7.05,6.35,8.00,8.50,9.00,1.50,4.50,9.00,6.00,5.00,6.00,6.00,7.75,6.50,7.50,8.00,9.00,3.79,4.50,3.00,4.00,4.00,4.00,3.50,3.50,4.00,3.50,3.00,4.00,4.50
Americas,South America,Suriname,4.90,4.55,4.00,4.00,5.50,5.00,3.50,9.00,1.50,8.50,2.50,2.00,5.25,2.50,5.00,8.00,5.50,2.25,3.00,2.00,3.00,2.00,2.00,2.00,2.00,1.00,1.50,2.00,2.50,4.00
Americas,South America,Venezuela,6.64,5.65,7.50,7.50,8.00,2.50,2.50,9.00,2.00,9.00,7.00,1.50,7.63,9.50,5.00,9.00,7.00,1.92,2.00,1.50,1.50,2.00,1.50,1.50,3.50,1.50,1.00,1.00,2.00,4.00
Africa,Southern Africa,Mauritius,4.51,4.40,4.50,3.50,2.00,2.00,3.00,4.00,8.00,3.50,5.50,8.00,4.63,2.00,6.00,6.00,4.50,5.67,6.00,6.00,6.50,6.00,5.50,5.50,5.50,3.50,7.00,5.50,5.00,6.00
Africa,Southern Africa,Botswana,3.71,3.80,4.50,3.00,3.00,2.00,7.50,3.50,3.50,3.50,4.00,3.50,3.63,1.00,5.50,3.00,5.00,5.63,6.00,5.00,8.00,6.00,6.50,5.00,5.00,4.50,5.50,5.50,4.50,6.00
